num_sectors,a_s,drone_spacing,num_repetitions,num_drones,snr,rmse,std_dev
6,0.4,10,10000,5,-1,5.02738025694872,3.0720872101361913
6,0.4,10,10000,5,0,4.071850195455882,2.482898958175454
6,0.4,10,10000,5,1,3.3542477551056797,2.0286161673504965
6,0.4,10,10000,5,2,2.719946433819826,1.6444515092860668
6,0.4,10,10000,5,3,2.2365178980438474,1.3506936169651416
6,0.4,10,10000,5,4,1.9042109736847337,1.1442528909078238
6,0.4,10,10000,5,5,1.6890497326390077,1.0203741897175946
6,0.4,10,10000,5,6,1.4585941751345708,0.8791623419221324
6,0.4,10,10000,5,7,1.3305705196339623,0.8110855689210027
6,0.4,10,10000,5,8,1.238860663044947,0.755995371693437
6,0.4,10,10000,5,9,1.1553256381832975,0.7093677469577618
6,0.4,10,10000,5,10,1.1010690436130686,0.6815496156735339
6,0.4,10,10000,5,11,1.0610116796214193,0.6558744127718723
6,0.4,10,10000,5,12,1.0305070625518535,0.6399261405442731
6,0.4,10,10000,5,13,1.0056195431500468,0.6328499438924893
6,0.4,10,10000,5,14,0.9723637700172151,0.6149941512717035
6,0.4,10,10000,5,15,0.9671571785249042,0.6128899659822894
6,0.4,10,10000,5,16,0.944728018259929,0.600741911952148
6,0.4,10,10000,5,17,0.9364624693188656,0.5951354810881486
6,0.4,10,10000,5,18,0.9459982937701195,0.5974226768570853
6,0.4,10,10000,5,19,0.926074116171521,0.5886011824171001
6,0.4,10,10000,9,-1,4.039434831321777,2.416641117572112
6,0.4,10,10000,9,0,3.3059268036908556,1.9773571857245655
6,0.4,10,10000,9,1,2.6803781005565632,1.6027465338398963
6,0.4,10,10000,9,2,2.1372340765196967,1.2778456549507002
6,0.4,10,10000,9,3,1.7514085575283556,1.0553530577748103
6,0.4,10,10000,9,4,1.4875686919133528,0.8934517890700204
6,0.4,10,10000,9,5,1.2729976383029715,0.768886416785779
6,0.4,10,10000,9,6,1.1235378537175005,0.6783201110071879
6,0.4,10,10000,9,7,1.041500155414417,0.6314599513205971
6,0.4,10,10000,9,8,0.960913175601622,0.5855207164343451
6,0.4,10,10000,9,9,0.8979545727996128,0.5513054525590785
6,0.4,10,10000,9,10,0.8537159875601686,0.5290191543100646
6,0.4,10,10000,9,11,0.831596175809091,0.5240993090354126
6,0.4,10,10000,9,12,0.8068825859422956,0.5074547345615914
6,0.4,10,10000,9,13,0.7912758382381391,0.5031048391968485
6,0.4,10,10000,9,14,0.7903064656116567,0.5057163277683698
6,0.4,10,10000,9,15,0.7602092364832376,0.482371675398486
6,0.4,10,10000,9,16,0.7566893211808209,0.4879030721151762
6,0.4,10,10000,9,17,0.7729150903101263,0.5009734919963416
6,0.4,10,10000,9,18,0.748762635094589,0.4861737980817393
6,0.4,10,10000,9,19,0.7429775343462957,0.4813406591194432
6,0.4,10,10000,15,-1,3.452598345707236,2.0182900368415733
6,0.4,10,10000,15,0,2.8541099120804185,1.6563526454517263
6,0.4,10,10000,15,1,2.3090436129505862,1.3592033086484878
6,0.4,10,10000,15,2,1.7868714719840026,1.049261494686532
6,0.4,10,10000,15,3,1.4504654265472288,0.8576884446643737
6,0.4,10,10000,15,4,1.209516929902511,0.7247404304618622
6,0.4,10,10000,15,5,1.0460305146449953,0.6232560290652874
6,0.4,10,10000,15,6,0.9208194904257728,0.5593647838674285
6,0.4,10,10000,15,7,0.8325627042335264,0.5077277086956379
6,0.4,10,10000,15,8,0.7843443137598453,0.4852775341975385
6,0.4,10,10000,15,9,0.7396177606004568,0.4626068765768343
6,0.4,10,10000,15,10,0.7173534220719201,0.4615374255321519
6,0.4,10,10000,15,11,0.6986316433179539,0.44668993087003656
6,0.4,10,10000,15,12,0.6808869653173413,0.44306938952952624
6,0.4,10,10000,15,13,0.6752440443757194,0.44326842716960624
6,0.4,10,10000,15,14,0.6648935678193877,0.4386463127108087
6,0.4,10,10000,15,15,0.6490754047156839,0.4309501401980244
6,0.4,10,10000,15,16,0.6469269632498679,0.42819036976951336
6,0.4,10,10000,15,17,0.6445708799629412,0.42773345020382786
6,0.4,10,10000,15,18,0.6429559326820271,0.42827890789820167
6,0.4,10,10000,15,19,0.6321478624049621,0.4236510151104844
