num_sectors,a_s,radius,num_repetitions,num_drones,snr,rmse,std_dev
6,0.4,20,10000,5,-1,5.046023350351232,3.0852973746489862
6,0.4,20,10000,5,0,4.118268336173234,2.538411691423868
6,0.4,20,10000,5,1,3.2864407950046353,2.0194588282897055
6,0.4,20,10000,5,2,2.704363733019833,1.6462050824715462
6,0.4,20,10000,5,3,2.2596725676171574,1.3742920328381418
6,0.4,20,10000,5,4,1.8760372461962793,1.1405729565924108
6,0.4,20,10000,5,5,1.6937015160898556,1.012427820197469
6,0.4,20,10000,5,6,1.4789510518718902,0.8970997305482082
6,0.4,20,10000,5,7,1.355894449913594,0.8254257926806294
6,0.4,20,10000,5,8,1.24531735634153,0.756054591696278
6,0.4,20,10000,5,9,1.1562850951494428,0.7099198994639443
6,0.4,20,10000,5,10,1.1106613223079436,0.6849541638043045
6,0.4,20,10000,5,11,1.0809863226660656,0.6732389916455529
6,0.4,20,10000,5,12,1.032513832954726,0.6430160612639874
6,0.4,20,10000,5,13,1.009378646748998,0.6278064013195122
6,0.4,20,10000,5,14,0.9836498487564456,0.6181491119559088
6,0.4,20,10000,5,15,0.956564260636988,0.5999383782299533
6,0.4,20,10000,5,16,0.9491264257546154,0.600245204558632
6,0.4,20,10000,5,17,0.95228950680281,0.6030784120845912
6,0.4,20,10000,5,18,0.9294563725219224,0.5895308327070428
6,0.4,20,10000,5,19,0.9298736235011706,0.5900912825304956
6,0.4,20,10000,9,-1,4.029087519325726,2.4125794837069097
6,0.4,20,10000,9,0,3.3738572526143895,2.006265981241758
6,0.4,20,10000,9,1,2.659428359939604,1.5811142688390014
6,0.4,20,10000,9,2,2.1150021191932677,1.2706422039381429
6,0.4,20,10000,9,3,1.7381971043651865,1.0390409699799168
6,0.4,20,10000,9,4,1.4813911536365516,0.8979249619199065
6,0.4,20,10000,9,5,1.268011517390187,0.7560987631725667
6,0.4,20,10000,9,6,1.1227348797621763,0.6829163832878847
6,0.4,20,10000,9,7,1.038031040102507,0.6256902564479397
6,0.4,20,10000,9,8,0.9571387139207116,0.586905412300762
6,0.4,20,10000,9,9,0.9017607177766144,0.555578550934038
6,0.4,20,10000,9,10,0.8575219948790662,0.535083958056442
6,0.4,20,10000,9,11,0.8348015382328074,0.5272529592575836
6,0.4,20,10000,9,12,0.819840773359753,0.5200290527436578
6,0.4,20,10000,9,13,0.7865276676114333,0.5006115439497743
6,0.4,20,10000,9,14,0.7826823438152661,0.5004745099087285
6,0.4,20,10000,9,15,0.7768462267906029,0.5034011815505653
6,0.4,20,10000,9,16,0.7685604955407747,0.49590671711686923
6,0.4,20,10000,9,17,0.7460620255441821,0.4829751192942742
6,0.4,20,10000,9,18,0.7502542069914543,0.4865217284505095
6,0.4,20,10000,9,19,0.7492182894947463,0.4858241914340447
6,0.4,20,10000,15,-1,3.475090585618248,2.026081265674969
6,0.4,20,10000,15,0,2.8174451077379596,1.6535899136043868
6,0.4,20,10000,15,1,2.2921532561386755,1.3374164381061102
6,0.4,20,10000,15,2,1.8135373708241183,1.0653515487361347
6,0.4,20,10000,15,3,1.461223700150401,0.8672471764174605
6,0.4,20,10000,15,4,1.2115044007016391,0.7306035888871683
6,0.4,20,10000,15,5,1.0483131466685855,0.6301252869418263
6,0.4,20,10000,15,6,0.9228231858267429,0.5555874945384531
6,0.4,20,10000,15,7,0.8402471394086586,0.5109293852098171
6,0.4,20,10000,15,8,0.7830791180050181,0.4806705491113993
6,0.4,20,10000,15,9,0.7451673864114094,0.4700149268333481
6,0.4,20,10000,15,10,0.7199713003603913,0.46055380941675295
6,0.4,20,10000,15,11,0.6942452153764729,0.4465706421998918
6,0.4,20,10000,15,12,0.6694700870881196,0.4286305528207243
6,0.4,20,10000,15,13,0.6798745346930899,0.4453758009151598
6,0.4,20,10000,15,14,0.6595636407848963,0.4331658201140721
6,0.4,20,10000,15,15,0.6439458649511722,0.4254100395743843
6,0.4,20,10000,15,16,0.6450775233596806,0.42555119631463156
6,0.4,20,10000,15,17,0.6369719444392237,0.4244903651696131
6,0.4,20,10000,15,18,0.6479559994167059,0.43357991430070386
6,0.4,20,10000,15,19,0.6421216032381972,0.42956501817153664
