num_sectors,a_s,radius,num_repetitions,num_drones,snr,rmse,std_dev
6,0.4,20,10000,5,-1,4.439373366041298,2.758303838676968
6,0.4,20,10000,5,0,3.67514813312447,2.282331375942321
6,0.4,20,10000,5,1,2.9868957271256815,1.8437211065877144
6,0.4,20,10000,5,2,2.4550465850864507,1.4993018167288268
6,0.4,20,10000,5,3,2.066462181837259,1.2503399334054381
6,0.4,20,10000,5,4,1.8360677049424552,1.1079899854076267
6,0.4,20,10000,5,5,1.5978605438794808,0.967255424940003
6,0.4,20,10000,5,6,1.435789550595524,0.8714776835546615
6,0.4,20,10000,5,7,1.3024461299905716,0.7857611888459852
6,0.4,20,10000,5,8,1.1981481653134067,0.7233421761169975
6,0.4,20,10000,5,9,1.1233243995179067,0.6742224943668039
6,0.4,20,10000,5,10,1.05910053867092,0.6417712123925163
6,0.4,20,10000,5,11,0.9998588157505504,0.5976203852732977
6,0.4,20,10000,5,12,0.9670582767242584,0.58094722376905
6,0.4,20,10000,5,13,0.936156925721242,0.5619309461958009
6,0.4,20,10000,5,14,0.9011565474326229,0.5446583391368536
6,0.4,20,10000,5,15,0.9011264213470078,0.5470881192675202
6,0.4,20,10000,5,16,0.8777277429786544,0.5322275239781926
6,0.4,20,10000,5,17,0.8663979221246508,0.5219220574065967
6,0.4,20,10000,5,18,0.8484972827904602,0.5108649738940478
6,0.4,20,10000,5,19,0.8476887619636494,0.5126481866495425
6,0.4,20,10000,9,-1,3.3166694152440552,2.0245942202705374
6,0.4,20,10000,9,0,2.6710978717727003,1.6310253436816022
6,0.4,20,10000,9,1,2.2118057063822243,1.3527146223759965
6,0.4,20,10000,9,2,1.8208026642385646,1.103061654722833
6,0.4,20,10000,9,3,1.549629009778494,0.9391668639557754
6,0.4,20,10000,9,4,1.3661962975895887,0.8186323188790803
6,0.4,20,10000,9,5,1.216027115279097,0.7355670061763567
6,0.4,20,10000,9,6,1.068120561045692,0.6476813577893252
6,0.4,20,10000,9,7,0.9636445987434876,0.5761405589499909
6,0.4,20,10000,9,8,0.8963175228894776,0.5442496302154376
6,0.4,20,10000,9,9,0.8333525367324948,0.5038370323795442
6,0.4,20,10000,9,10,0.7998089186665847,0.48196435215552125
6,0.4,20,10000,9,11,0.7606542564959996,0.45856519451219685
6,0.4,20,10000,9,12,0.7344594760960933,0.44074121390608834
6,0.4,20,10000,9,13,0.7047252186648527,0.4269320637674938
6,0.4,20,10000,9,14,0.6853240051437877,0.41440863360901437
6,0.4,20,10000,9,15,0.6743671099025065,0.40586560748915124
6,0.4,20,10000,9,16,0.6575481182640112,0.39735607397351713
6,0.4,20,10000,9,17,0.6548693104699403,0.3960189468261724
6,0.4,20,10000,9,18,0.6546587565615042,0.3965551494009439
6,0.4,20,10000,9,19,0.6445000419097044,0.3885380430233363
6,0.4,20,10000,15,-1,2.5377460425269547,1.545265573418217
6,0.4,20,10000,15,0,2.0751696185580144,1.2622334420091232
6,0.4,20,10000,15,1,1.7314970152869833,1.0535495895183884
6,0.4,20,10000,15,2,1.4438357538149884,0.8713957102797999
6,0.4,20,10000,15,3,1.2336687852086168,0.7441578782160053
6,0.4,20,10000,15,4,1.0586459051445734,0.6396424658775354
6,0.4,20,10000,15,5,0.9269451512983047,0.5572849139092007
6,0.4,20,10000,15,6,0.8470742342007814,0.5089503426941537
6,0.4,20,10000,15,7,0.7737002733194632,0.46497959980613696
6,0.4,20,10000,15,8,0.7074977437124036,0.43533061154464364
6,0.4,20,10000,15,9,0.6692154493820212,0.40774881477928165
6,0.4,20,10000,15,10,0.6189035872294657,0.37382446591919827
6,0.4,20,10000,15,11,0.5949375825653124,0.35840422463613925
6,0.4,20,10000,15,12,0.5767986285373965,0.35226790503944244
6,0.4,20,10000,15,13,0.5606252346104666,0.3387288992501636
6,0.4,20,10000,15,14,0.548773804040678,0.33139028645333
6,0.4,20,10000,15,15,0.5384881448167674,0.32464231773099217
6,0.4,20,10000,15,16,0.5315408232969313,0.3260005754366375
6,0.4,20,10000,15,17,0.5231994037993489,0.31868385809855965
6,0.4,20,10000,15,18,0.5215151621785742,0.3152945045522326
6,0.4,20,10000,15,19,0.5162853330831397,0.31197230535414716
