num_sectors,a_s,drone_spacing,num_repetitions,num_drones,snr,rmse,std_dev
6,0.4,10,10000,5,-1,4.531064411435097,2.799560574178323
6,0.4,10,10000,5,0,3.7259144506815067,2.3042463472198658
6,0.4,10,10000,5,1,3.0567994779209573,1.8826834293913282
6,0.4,10,10000,5,2,2.5317652678619447,1.5428817177460012
6,0.4,10,10000,5,3,2.132213458270404,1.2901021712800826
6,0.4,10,10000,5,4,1.826854647267951,1.1057044773061084
6,0.4,10,10000,5,5,1.613496022635766,0.9774131464224451
6,0.4,10,10000,5,6,1.428894210840777,0.8630396825936475
6,0.4,10,10000,5,7,1.3056520706671282,0.7892627974336689
6,0.4,10,10000,5,8,1.180422250940407,0.7141896724740766
6,0.4,10,10000,5,9,1.119774180191145,0.672323784948112
6,0.4,10,10000,5,10,1.0360984575033225,0.6290667879121603
6,0.4,10,10000,5,11,0.9943075788895785,0.6009616619819338
6,0.4,10,10000,5,12,0.9559995528662396,0.5810994702646379
6,0.4,10,10000,5,13,0.9199535266520628,0.5528884761167506
6,0.4,10,10000,5,14,0.9106628537729747,0.5523696723806009
6,0.4,10,10000,5,15,0.8799032017452983,0.5309419594508745
6,0.4,10,10000,5,16,0.8678101126828712,0.529469893030389
6,0.4,10,10000,5,17,0.8548719730781983,0.5145936721261991
6,0.4,10,10000,5,18,0.8669008755420262,0.5267048260334483
6,0.4,10,10000,5,19,0.8571575061891907,0.5241285353002952
6,0.4,10,10000,9,-1,3.385116615976745,2.069287996807368
6,0.4,10,10000,9,0,2.7461123143401047,1.6708602429298958
6,0.4,10,10000,9,1,2.2801471899572054,1.3854598468199604
6,0.4,10,10000,9,2,1.8780696850257097,1.1355379491023907
6,0.4,10,10000,9,3,1.5817985791495546,0.9619473289479725
6,0.4,10,10000,9,4,1.357072036706994,0.8214595325755408
6,0.4,10,10000,9,5,1.1781902896248988,0.7145592049422145
6,0.4,10,10000,9,6,1.0673518583357933,0.6454134519553973
6,0.4,10,10000,9,7,0.9642508213979398,0.5772345038533784
6,0.4,10,10000,9,8,0.9048054480642631,0.5457637665076025
6,0.4,10,10000,9,9,0.8293124557330017,0.501089262701628
6,0.4,10,10000,9,10,0.7812210698411506,0.4718779575569972
6,0.4,10,10000,9,11,0.7427271180192009,0.44749476967964746
6,0.4,10,10000,9,12,0.7198292485663077,0.4357120927669081
6,0.4,10,10000,9,13,0.6884924165730578,0.41482178132012626
6,0.4,10,10000,9,14,0.676828270512312,0.40996154055790357
6,0.4,10,10000,9,15,0.6601285415929603,0.39929403973281064
6,0.4,10,10000,9,16,0.6515094216422539,0.3958195335113282
6,0.4,10,10000,9,17,0.6400215803614537,0.3874279664230284
6,0.4,10,10000,9,18,0.6450502883292806,0.3913765283621296
6,0.4,10,10000,9,19,0.6290178361974335,0.38155952139054694
6,0.4,10,10000,15,-1,2.603650731899871,1.5891779605787373
6,0.4,10,10000,15,0,2.153083418165426,1.3102668135355697
6,0.4,10,10000,15,1,1.7516941664495331,1.0574074930940114
6,0.4,10,10000,15,2,1.4565324480702464,0.8885607821035673
6,0.4,10,10000,15,3,1.2292666007551512,0.7391668331338325
6,0.4,10,10000,15,4,1.061111493861526,0.6439959664654586
6,0.4,10,10000,15,5,0.9298871224577171,0.561715159974821
6,0.4,10,10000,15,6,0.814169845294773,0.48866686748823124
6,0.4,10,10000,15,7,0.7529574249753923,0.45310388319076833
6,0.4,10,10000,15,8,0.6983387688544453,0.4201561132301108
6,0.4,10,10000,15,9,0.6484873402519591,0.38938279184983343
6,0.4,10,10000,15,10,0.6066539153966982,0.3648429677763373
6,0.4,10,10000,15,11,0.5754748142545995,0.34651954764659515
6,0.4,10,10000,15,12,0.5673662889626608,0.34304568125737506
6,0.4,10,10000,15,13,0.5406174722962854,0.32540306431513316
6,0.4,10,10000,15,14,0.5200818682046094,0.31383379955402896
6,0.4,10,10000,15,15,0.5131759555575315,0.31144703128281603
6,0.4,10,10000,15,16,0.5087007411552305,0.30562183177152863
6,0.4,10,10000,15,17,0.5070009083046396,0.30772673960897834
6,0.4,10,10000,15,18,0.490311841172485,0.295146342000516
6,0.4,10,10000,15,19,0.4919950438306528,0.29806542145063886
