num_sectors,snr,num_repetitions,a_s,doa,rmse,std_dev
6,5,100000,0.1,0,21.54739151364881,14.57900574248338
6,5,100000,0.1,1,21.4625039192691,14.446800892932538
6,5,100000,0.1,2,21.444124636650614,14.373690681505531
6,5,100000,0.1,3,21.23542639562376,14.17906492000632
6,5,100000,0.1,4,20.951696921072475,13.979427522784707
6,5,100000,0.1,5,20.513631155415094,13.701139623244115
6,5,100000,0.1,6,19.994255629577857,13.409594428886658
6,5,100000,0.1,7,19.449293421445216,13.120409439083902
6,5,100000,0.1,8,18.771994016996953,12.726935201873214
6,5,100000,0.1,9,17.846049963083253,12.235092126908947
6,5,100000,0.1,10,17.037277075266843,11.78811742078628
6,5,100000,0.1,11,15.95503060514849,11.199474413060502
6,5,100000,0.1,12,14.951650323977034,10.628379549176513
6,5,100000,0.1,13,13.809726082691487,9.89106620738556
6,5,100000,0.1,14,12.616350334685086,9.10645182468814
6,5,100000,0.1,15,11.417810965260896,8.277466509864276
6,5,100000,0.1,16,10.248274054286748,7.377856744528737
6,5,100000,0.1,17,9.207950133295318,6.595788473055483
6,5,100000,0.1,18,8.382750946495474,5.961980306046188
6,5,100000,0.1,19,7.615447382367943,5.338997218701363
6,5,100000,0.1,20,7.025271156544766,4.86108100193511
6,5,100000,0.1,21,6.476047208649339,4.419373833702213
6,5,100000,0.1,22,6.053360743059216,4.083203582348595
6,5,100000,0.1,23,5.77214388131261,3.865522022561809
6,5,100000,0.1,24,5.568313793518641,3.734064445904465
6,5,100000,0.1,25,5.3488408504128335,3.5800392774989143
6,5,100000,0.1,26,5.209049605164717,3.4884570774444845
6,5,100000,0.1,27,5.061786445844407,3.38351010093643
6,5,100000,0.1,28,4.988934562534122,3.3329516108470796
6,5,100000,0.1,29,4.972204642327602,3.328318208508582
6,5,100000,0.1,30,4.960633973508254,3.315020107328927
6,5,100000,0.1,31,4.9700698697927495,3.3245714561685342
6,5,100000,0.1,32,5.014769039341903,3.3547854389335456
6,5,100000,0.1,33,5.08168726764596,3.4007966063510437
6,5,100000,0.1,34,5.178843504288517,3.462320876770206
6,5,100000,0.1,35,5.353061599458704,3.5843760447287263
6,5,100000,0.1,36,5.543738346257476,3.7127963529458228
6,5,100000,0.1,37,5.748233720543634,3.8669866228951566
6,5,100000,0.1,38,6.087105853744136,4.123188873647599
6,5,100000,0.1,39,6.499956628819406,4.449873659251342
6,5,100000,0.1,40,6.975588778081136,4.8013045041697255
6,5,100000,0.1,41,7.596338374050734,5.319805812701128
6,5,100000,0.1,42,8.339976292572175,5.901532629335582
6,5,100000,0.1,43,9.207651510350509,6.590102636753248
6,5,100000,0.1,44,10.31703272107799,7.45253736528631
6,5,100000,0.1,45,11.344176215407652,8.185365686539386
6,5,100000,0.1,46,12.568189789748091,9.046996097896299
6,5,100000,0.1,47,13.691077919452953,9.794083912037463
6,5,100000,0.1,48,14.836940513943004,10.523020813911003
6,5,100000,0.1,49,16.088656205526675,11.275994545136129
6,5,100000,0.1,50,17.0010324599832,11.7959226307879
6,5,100000,0.1,51,17.824478537132595,12.26861737056686
6,5,100000,0.1,52,18.699184606328807,12.730011150603865
6,5,100000,0.1,53,19.474702643118526,13.130306769994055
6,5,100000,0.1,54,20.024454460806584,13.41759177524097
6,5,100000,0.1,55,20.5142526345416,13.728413863663521
6,5,100000,0.1,56,20.91048351266237,13.964267435364912
6,5,100000,0.1,57,21.287992967588142,14.208410755228687
6,5,100000,0.1,58,21.357974832226514,14.315028285647129
6,5,100000,0.1,59,21.523803660815894,14.500519658394959
6,5,100000,0.1,60,21.597519988415673,14.61420164084737
6,5,100000,0.1,61,21.53488271905645,14.499711070333108
6,5,100000,0.1,62,21.378450596808218,14.332244438124556
6,5,100000,0.1,63,21.178496580477532,14.13758944032303
6,5,100000,0.1,64,20.832576930771395,13.915772344079842
6,5,100000,0.1,65,20.44746704128773,13.664705861404958
6,5,100000,0.1,66,20.020174096794047,13.402790350269932
6,5,100000,0.1,67,19.41290724616121,13.106676019714817
6,5,100000,0.1,68,18.69692333197862,12.708685182255435
6,5,100000,0.1,69,17.962122977643457,12.32931802538933
6,5,100000,0.1,70,17.05593059639045,11.838219154738232
6,5,100000,0.1,71,15.901964954338323,11.142271053766242
6,5,100000,0.1,72,14.8667439383633,10.53031238734442
6,5,100000,0.1,73,13.821072705640729,9.900478762659723
6,5,100000,0.1,74,12.60544309069833,9.086966524041136
6,5,100000,0.1,75,11.409244747785138,8.262039467349664
6,5,100000,0.1,76,10.394415585198146,7.516609633772516
6,5,100000,0.1,77,9.311719610287243,6.689235844932998
6,5,100000,0.1,78,8.29626299008307,5.878772114549034
6,5,100000,0.1,79,7.594652259569761,5.316022277978333
6,5,100000,0.1,80,6.979589862498497,4.818489582722171
6,5,100000,0.1,81,6.477054101514549,4.427611245307866
6,5,100000,0.1,82,6.109994348206271,4.13026823674099
6,5,100000,0.1,83,5.767840957603409,3.866088616243253
6,5,100000,0.1,84,5.548816004589895,3.7383351939265044
6,5,100000,0.1,85,5.308583950679017,3.5467638466505065
6,5,100000,0.1,86,5.20805035686379,3.4812127134455393
6,5,100000,0.1,87,5.080300161951845,3.3990262394228
6,5,100000,0.1,88,5.029816075095803,3.35994243423058
6,5,100000,0.1,89,4.956078006652114,3.3184781798450307
6,5,100000,0.1,90,4.948600968574974,3.3160723598960895
6,5,100000,0.1,91,4.972495098949273,3.333378585446088
6,5,100000,0.1,92,5.021337344546111,3.357655266996106
6,5,100000,0.1,93,5.091391870309817,3.4013553469675517
6,5,100000,0.1,94,5.213000357810424,3.483197164314263
6,5,100000,0.1,95,5.311910890369245,3.5457531801512854
6,5,100000,0.1,96,5.488385198053414,3.6752512061092477
6,5,100000,0.1,97,5.73146633011055,3.8366403144692653
6,5,100000,0.1,98,6.001162316268053,4.034175725930948
6,5,100000,0.1,99,6.322764039239494,4.225751823253285
6,5,100000,0.1,100,6.7786369492954295,4.601168626902557
6,5,100000,0.1,101,7.299032978692815,5.009186321211828
6,5,100000,0.1,102,8.141882267024968,5.743825814607389
6,5,100000,0.1,103,8.952565892908234,6.418573379449895
6,5,100000,0.1,104,10.095459412026061,7.415639282975452
6,5,100000,0.1,105,11.487144619974103,8.630887121661072
6,5,100000,0.1,106,13.0200779459865,9.958435307815297
6,5,100000,0.1,107,14.740223169608948,11.44124079312007
6,5,100000,0.1,108,16.57733840641054,12.980226565406646
6,5,100000,0.1,109,18.604811812929444,14.660980748916106
6,5,100000,0.1,110,20.774156213306846,16.522443287052003
6,5,100000,0.1,111,22.603330180498354,17.95219620567921
6,5,100000,0.1,112,24.570928904149177,19.558017400779253
6,5,100000,0.1,113,26.566754890599746,21.1740135409825
6,5,100000,0.1,114,28.144603454238716,22.487489941143274
6,5,100000,0.1,115,29.61429890453386,23.611073001235162
6,5,100000,0.1,116,31.535277928259116,25.166236098918276
6,5,100000,0.1,117,32.85333656613576,26.23329490492062
6,5,100000,0.1,118,33.84535133064938,27.039105659505424
6,5,100000,0.1,119,35.159419576538504,28.10952049842516
6,5,100000,0.1,120,35.976230648824554,28.75669715798343
6,5,100000,0.1,121,36.93743721835671,29.442550582622083
6,5,100000,0.1,122,37.57145971748482,29.86112485238162
6,5,100000,0.1,123,38.223316661176426,30.30627757834749
6,5,100000,0.1,124,38.296839799824134,30.223154491829938
6,5,100000,0.1,125,38.755146094604484,30.623029296320013
6,5,100000,0.1,126,38.258262541690726,30.23925824716944
6,5,100000,0.1,127,38.10046833118258,30.13647557333415
6,5,100000,0.1,128,37.47915926322923,29.65783352310884
6,5,100000,0.1,129,36.73573785999541,29.14920439759598
6,5,100000,0.1,130,35.70887570147367,28.43954857807946
6,5,100000,0.1,131,34.034067815060396,27.29727395497736
6,5,100000,0.1,132,32.13769346637557,25.8902608435245
6,5,100000,0.1,133,30.404064908257133,24.616243946022504
6,5,100000,0.1,134,27.89846583391453,22.705346900864225
